"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"101","Granulocytes","Lactococcus lactis; Eubacterium eligens; Eubacterium ventriosum; Coprococcus catus; Anaerotruncus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"102","Guillain-Barre Syndrome","Campylobacter jejuni","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8773599'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C10.114.750.100; C10.314.750.450; C10.668.829.350; C10.668.829.800.750.300; C20.111.258.750.400","139393","ELISAr anti-C. jejuni antibodies","Increase","1","Table 2","Homo Sapiens",204,NA,"Intravenous Serum Samples"
"103","HbA1c","Bacteroides coprocola","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"104","HDL","Bacteroides cellulosilyticus;  Parabacteroides merdae; Alistipesahii; Coprococcus catus; Coprococcus eutactus; Subdoligranulum unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"105","Head and neck squamous cell carcinoma (decrease)","Lautropia; Oribacterium; Granulicatella; Prevotella; Leptotrichia; Gemellaceae; Aggregatibacter; Neisseria; Haemophilus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27259999'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C04.557.470.200.400, C04.557.470.700.400","275355","16S rRNA - V3-V5 regions, Roche 454 FLX","Decrease","1","Figure 6A","Homo Sapiens",44,"Median 66","Tumor and Oral (Salivary)"
"106","Head and neck squamous cell carcinoma (increase)","Streptococcus; Lactobacillus; Staphylococcus; Parvimonas","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27259999'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C04.557.470.200.400, C04.557.470.700.400","275355","16S rRNA - V3-V5 regions, Roche 454 FLX","Increase","1","Figure 6A","Homo Sapiens",44,"Median 66","Tumor and Oral (Salivary)"
"107","Hepatitis B (decrease)","Bacteroides; Asaccharobacter; Coriobacteriaceae; Escherichia; Shigella; Butyricimonas; Parabacteroides; Alistipes; Clostridium IV; Ruminococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29180991'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C02.256.430.400.100; C02.440.435.100; C06.552.380.350.100; C06.552.380.705.437.100","610424","16S rRNA - V3-V4 regions, Illumina MiSeq","Decrease","1","Table 2","Homo Sapiens",107,"28-45","Gut (faecal)"
"108","Hepatitis B (increase)","Actinomyces; Clostridiumnsuricto; Megamonas","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29180991'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C02.256.430.400.100; C02.440.435.100; C06.552.380.350.100; C06.552.380.705.437.100","610424","16S rRNA - V3-V4 regions, Illumina MiSeq","Increase","1","Table 2","Homo Sapiens",107,"28-45","Gut (faecal)"
"109","High PH","Capnocytophaga granulosa","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28072421'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"16S rRNA - V4 region, Illumina MiSeq","Increase","1","Figure 5D","Homo Sapiens",268,"18-32","Oral (salivary)"
"110","Hiprculation","Alistipes finegoldii; Alistipes onderdonkii; Streptococcus thermophilus; Subdoligranulum unclassified; Alistipes shahii; Dorea formicigenerans","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"111","HIV-1 infection in Mozambique (decrease)","Akkermansia; Anaerovibrio; Bifidobacterium; Clostridium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/31078141'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C02.782.815.616.400; C02.800.801.400; C20.673.480",NA,"16S rRNA – V3-V4 regions, Illumina MiSeq","Decrease","1","Figure 2","Homo Sapiens",202,"20-46.5","Gut (faecal)"
"112","HIV-1 Infection (decrease)","Bacteroides uniformis;  Bacteroides xylanisolvens; Alistipes putredinis; Parabacteriodes distasonis; Bacteroides thetaiotaomicron; Bacteroides finegoldii;  Bacteroides massiliensis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24034618'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C02.782.815.616.400; C02.800.801.400; C20.673.480",NA,"16S rRNA - V4 region, Illumina MiSeq","Decrease","1","Table S2","Homo Sapiens",41,"37±12.26","Gut (faecal)"
"113","HIV-1 Infection (increase)","Prevotella stercorea; Prevotella copri; Catenibacterium mitsuokai; Eubacterium biforme; Dialister propionicifaciens; Desulfovibrio piger; Mituokella jalaludinii; Allisonella histaminiformans; Ruminococcus callidus; Megasphaera elsdenii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24034618'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C02.782.815.616.400; C02.800.801.400; C20.673.480",NA,"16S rRNA - V4 region, Illumina MiSeq","Increase","1","Table S2","Homo Sapiens",41,"37±12.26","Gut (faecal)"
"114","HPV (decrease)","Mycoplasma; Aggregatibacter; Capnocytophaga; Leptotrichia; Neisseria; Eikenella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27259999'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C02.256.650; C02.928.72",NA,"16S rRNA - V3-V5 regions, Roche 454 FLX","Decrease","1","Figure 6B","Homo Sapiens",59,"Median 66","Oral (Salivary)"
"115","HPV (decreased)","Pseudoxanthomonas;  Actinomyces; Vampirovibrio; GpXIII; Alkanindiges","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28860468'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C02.256.650; C02.928.72",NA,"16S rRNA - V3-V5 regions, Roche 454 FLX+","Decrease","1","Figure 6","Homo Sapiens",1029,"26-64","Vaginal Fluid"
"116","HPV (increase)","Lactobacillus; Weeksellaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27259999'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C02.256.650; C02.928.72",NA,"16S rRNA - V3-V5 regions, Roche 454 FLX","Increase","1","Figure 6B","Homo Sapiens",59,"Median 66","Oral (Salivary)"
"117","HPV (increased)","Sneathia;  Megashpaera; Pediococcus; Brevibacterium; Pseudomonas","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28860468'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C02.256.650; C02.928.72",NA,"16S rRNA - V3-V5 regions, Roche 454 FLX+","Increase","1","Figure 6","Homo Sapiens",1029,"26-64","Vaginal Fluid"
"118","IBD","Bacteroides coprocola; Coprococcus eutactus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C06","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"119","IBS","Eggerthella lenta; Eggerthella unclassified; Bacteroides caccae; Paraprevotella unclassified; Alistipes shahii; Dorea longicatena","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C06","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"120","Idiopathic calcium stone formers","Faecalibacterium; Enterobacter; Dorea","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29705728'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C12.777.419.600.500; C12.777.967.249.500; C12.777.967.500.503; C13.351.968.419.600.500; C13.351.968.967.249.500; C13.351.968.967.500.503; C23.300.175.850.550","167030","16S rDNA - V3 region, Illumina MiSeq","Decrease",NA,"Table 4","Homo Sapiens",100,"48±11","Gut (faecal)"
"121","IL6","Parabacteroides merdae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"122","Increase Susceptibility to Malaria (decrease)","Fervidicella; Anaeroplasma; Vagococcus; Lachnospiracea; Roseburia; Clostridium; Turicibacter; Anaerotruncus; Allobaculum; Lactobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26858424'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C03.752.530","611162","16S rRNA - V4 region, Illumina MiSeq","Decrease","1","Figure S11","C57BL/6 mice",40,"0-7 weeks","Gut (Cecum,all intestine andlon)"
"123","Increase Susceptibility to Malaria (increase)","Barnesiella; Bacteroides; Barnesiella; Odoribacter; Prevotella; Desulfovibrio; Desulfohalobium; Papillibacter","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26858424'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C03.752.530","611162","16S rRNA - V4 region, Illumina MiSeq","Increase","1","Figure S11","C57BL/6 mice",40,"0-7 weeks","Gut (Cecum,all intestine andlon)"
"124","Inflammatory bowel disease","Bacteroides caccae ATCC 43185","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C06.405.205.731; C06.405.469.43","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"125","Insulin","Alistipes finegoldii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"126","Intermittent Hypoxia and Hypercapnia (decrease)","Clostridiaceae; Coriobacteriaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29896566'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Family",NA,NA,"C23.888.852.079; C23.888.852.54",NA,"16S rRNA - V4 region, Illumina HiSeq 2500","Decrease","1","Figure 2","C57BL/6 mice",16,"10 weeks","Gut (faecal)"
"127","Intermittent Hypoxia and Hypercapnia (increase)","Oscillospira; Lachnospiraceae; Mogibacteriaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29896566'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C23.888.852.079; C23.888.852.54",NA,"16S rRNA - V4 region, Illumina HiSeq 2500","Increase","1","Figure 2","C57BL/6 mice",16,"10 weeks","Gut (faecal)"
"128","Kidney stones","Lachnospiraceae bacterium 1 4 56FAA","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C12.777.419.600.500; C12.777.967.249.500; C12.777.967.500.503; C13.351.968.419.600.500; C13.351.968.967.249.500; C13.351.968.967.500.503; C23.300.175.850.550","167030","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"129","Leucocytes","Eubacterium eligens; Eubacterium ventriosum; Coprococcus catus; Coprococcus ART55 1; Anaerotruncus unclassified; Subdoligranulum unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"130","Liver Cirrhosis (China, decrease)","Alistipes; Alistipes finegoldii; Alistipes putredinis; Bacteroides; Bacteroides eggerthii; Bacteroides finegoldii; Bacteroides. D20; Bacteroides uniformis; Bacteroidetes; Bilophila; Bilophila wadsworthia; Clostridium; Coprococcus; Dorea; Eubacterium; Eubacterium eligens; Eubacterium hallii; Eubacterium rectale; Faecalibacterium; Faecalibacterium prausnitzii; Fusobacteria; Fusobacterium; Haemophilus; Haemophilus parainfluenzae; Holdemania; Lactobacillus; Lactobacillus salivarius; Megasphaera; Odoribacter; Odoribacter splanchnicus; Parabacteroides; Parabacteroides distasonis; Parabacteroides merdae; Phascolarctobacterium; Prevotella; Proteobacteria; Roseburia; Roseburia hominis; Roseburia intestinalis; Ruminococcus; Ruminococcus gnavus; Streptococcus; Streptococcus anginosus; Streptococcus parasanguinis; Streptococcus salivarius; Streptococcus vestibularis; Subdoligranulum; Tannerella; Veillonella; Veillonella atypica; Veillonella dispar; Veillonella parvula","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25079328'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C06.552.630",NA,"16S rRNA - V3 region, Roche 454 platform","Decrease","1","Figure 1; Figure 3","Homo Sapiens",60,"49 ± 11","Gut (faecal)"
"131","Liver Cirrhosis (China, increase)","Bacilli; Bacteroidaceae; Bacteroidetes; Enterobacteriaceae; Enterococcus faecalis; Fusobacteria; Fusobacteriaceae; Lachnospira; Lachnospiraceae; Pasteurellaceae; Proteobacteria; Streptococcaceae; Veillonellaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25079328'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C06.552.630",NA,"16S rRNA - V3 region, Roche 454 platform","Increase","1","Figure 1; Figure 3","Homo Sapiens",60,"49 ± 11","Gut (faecal)"
"132","Liver cirrhosis (China)","Aggregatibacter segnis ATCC 33393; Bifidobacterium dentium JCVIHMP022; Campylobacter sp. 10_1_50; Clostridium perfringens F262; Clostridium symbiosum WAL-14673; Fusobacterium nucleatum subsp. animalis F0419; Haemophilus parainfluenzae T3T1; Lactobacillus fermentum ATCC 14931; Lactobacillus mucosae LM1; Lactobacillus salivarius CECT 5713; Megasphaera micronuciformis F0359; Prevotella buccae ATCC 33574; Ruminococcus gnavus ATCC 29149; Streptococcus anginosus SK52 = DSM 20563; Streptococcus oralis SK313; Streptococcus parasanguinis ATCC 903; Streptococcus salivarius JIM8777; Streptococcus sp. 2_1_36FAA; Streptococcus vestibularis F0396; Veillonella atypica ACS-134-V-Col7a; Veillonella dispar ATCC 17748; Veillonella dispar ATCC 17748; Veillonella parvula ATCC 17745; Veillonella sp. oral taxon 158 str. F0412","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25079328'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C06.552.630","215600","16S rRNA - Illumina MiSeq","Increase","1","Figure 1","Homo Sapiens",114,"43±9","Gut (faecal)"
"133","Lymphocytes","Ruminococcus torques; Coprococcus ART55 1; Subdoligranulum unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"134","Malodor in children (increase)","Staphylococcus hominis; Staphylococcus epidermidis; Cutibacterium avidum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/30497517'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing – Illumina HiSeq 2000","Increase","1","Table 1","Homo Sapiens",30,"5-9; 15-18","Various"
"135","Malodor in children (decrease)","Corynebacterium pseudogenitalium; Corynebacterium tuberculostearicum; Malassezia globosa; Acinetobacter schindleri; Cutibacterium granulosum; Cutibacterium acnes","<a href='https://www.ncbi.nlm.nih.gov/pubmed/30497517'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing – Illumina HiSeq 2000","Decrease","1","Table 1","Homo Sapiens",30,"5-9; 15-18","Various"
"136","Maternal Antenatal infection (decrease)","Plantomycetes; Gemmata; Leifsonia; Haliangium; Actinosynnema; Eubacterium; Selenomonas; Thioalkalivibrio; Propionibacterium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24848255'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C01",NA,"Whole Genome Sequencing - Illumina HiSeq 2500","Decrease","1","Figure 4B","Homo Sapiens",48,"20-34","Placental"
"137","Maternal Antenatal infection (increase)","Gloeobacter; Arthrobacter; Klebsiella; Acinetobacter; Streptococcus; Pseudoalteromonas","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24848255'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C01",NA,"Whole Genome Sequencing - Illumina HiSeq 2500","Increase","1","Figure 4B","Homo Sapiens",48,"20-34","Placental"
"138","Medication allergy","Eggerthella unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C20.543.206","C25.100.468",NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"139","Melatonine","Bacteroides dorei; Bacteroides ovatus; Alistipes shahii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"140","Migraine","Rothia mucilaginosa; Haemophilus parainfluenzae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27822557'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C10.228.140.546.399.750","157300","16S rRNA - Illumina MiSeq","Increase","1","Table 1","Homo Sapiens",171,"20-69","Gut (faecal)"
"141","Monocytes","Eubacterium ramulus; Coprococcus ART55 1","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"142","Mucositis (increase)","Fusobacterium nucleatum; Prevotella oris","<a href='https://www.ncbi.nlm.nih.gov/pubmed/31018870'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,NA,NA,"16S rRNA – V1-V2 regions – 454-GS-FLX","Increase","1","Figure 4","Homo Sapiens",49,NA,"Oral"
"143","Mucositis (decrease)","Streptococcus; Actinomyces; Gemella; Granulicatella; Veillonella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/31018870'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,NA,NA,"16S rRNA – V1-V2 regions – 454-GS-FLX","Decrease","1","Figure 4","Homo Sapiens",49,NA,"Oral"
"144","Multiple Sclerosis (decrease)","Parabacteriodes; Adlercreutzia; Prevotella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27346372'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.114.375.500; C10.314.350.500; C20.111.258.250.500","126200; 612595; 612596
","16S rRNA - V3-V5 regions, Roche 454 Titanium","Decrease","1","Figure 3","Homo Sapiens",67,"42.9±10.6","Gut (faecal)"
"145","Multiple Sclerosis (increase)","Psuedomonas; Mycoplana; Haemophilus; Blautia; Dorea","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27346372'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.114.375.500; C10.314.350.500; C20.111.258.250.500","126200; 612595; 612596
","16S rRNA - V3-V5 regions, Roche 454 Titanium","Increase","1","Figure 3","Homo Sapiens",67,"42.9±10.6","Gut (faecal)"
"146","Myocardial Infarction (increase)","Bifidobacterium adolescentis; Bacteroides eggerthii; Clostridium bolteae; Eubacterium eligens; Coprococcus comes; Dorea longicatena","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C14.280.647.500; C14.907.585.50","608446","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"147","Myocardial Infarction (increased)","Eubacterium eligens;  Coprococcus comes; Bacteroides eggerthii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C14.280.647.500; C14.907.585.50","608446","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"148","Neck back hernia","Lachnospiraceae bacterium 3 1 46FAA","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C23.300.707","142340","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"149","Nosocomial infection","Acinetobacter baumannii ATCC 19606, CIP 70.34; Acinetobacterlcoaceticus RUH2202; Enterococcus. 7L76; Acinetobacter radioresistens SK82; Enterococcus. 7L76","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.248; C23.550.291.875.50",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"150","Onset of obesity in children","Proteobacteria; Lactobacillaceae; Clostridiaceae; Ruminococcaceae; Alcaligenaceae; Ruminococcus; Sutterella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/30534614'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA – V3-V4 regions, Illumina MiSeq",NA,NA,"Table 2","Homo Sapiens",70,"5-14 years","Gut (faecal)"
"151","Obese (decrease_m)","Allistipes; Bacteroides intestinalis; Bacteroides fragalis; Bacteroides uniformis; Bacteroides plebicus; Bacteroides ovatus; Bacteroides splachnicus; Bacteroides stercoris; Parabacteroides distasonis; Prevotella oralis; Prevotella ruminicola; Prevotella tannerai; Tannerella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23526699'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - Human Intestinal Tractip Microarray","Decrease",NA,"Table 2","Homo Sapiens",28,"19-54","Gut (faecal)"
"152","Obese (decrease)","Lactobacillus; Prevotella; F16; Clostridiaceae_02d06; Candidatus; Arthromitus; Allobaculum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25126780'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - V4 region, Roche 454 platform","Decrease",NA,"Figure 2M","C57BL/6J mice",19,"4 weeks","Gut (faecal)"
"153","Obese (g_decrease)","Oscillibacter","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21885731'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - V1-V2 region, Roche 454 platform","Decrease",NA,"Figure S1B","Homo Sapiens",98,"18-40","Gut (faecal)"
"154","Obese (g_increase)","Acidaminococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21885731'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - V1-V2 region, Roche 454 platform","Increase",NA,"Figure S1B","Homo Sapiens",98,"18-40","Gut (faecal)"
"155","Obese (increase)","Bacteroidetes S24_7; Anaeroplasma; Coprobacillus; Ruminococcaceae; Oscillospira; Ruminococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25126780'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - V4 region, Roche 454 platform","Increase",NA,"Figure 2M","C57BL/6J mice",19,"4 weeks","Gut (faecal)"
"156","Obese (m_decrease)","Methanobrevibacter smithii; Bifidobacterium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/19498350'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - qPCR ABI PRISM 7900HT sequence detection system","Decrease",NA,"Table 3","Homo Sapiens",98,"14-74","Gut (faecal)"
"157","Obese (p_decrease)","Bacteriodetes","<a href='https://www.ncbi.nlm.nih.gov/pubmed/19043404'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Phylum",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - full-length gene, ABI 3730xl capillary sequencer","Decrease",NA,"Combining the individual P values across these independent analyses using Fisher’s method disclosed significantly fewer Bacteroidetes (P = 0.003), more Actinobacteria (P = 0.002) but no significant difference in Firmicutes (P = 0.09).","Homo Sapiens",46,"12-17","Gut (faecal)"
"158","Obese (p_increase)","Actinobacteria","<a href='https://www.ncbi.nlm.nih.gov/pubmed/19043404'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Phylum",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - full-length gene, ABI 3730xl capillary sequencer","Increase",NA,"Combining the individual P values across these independent analyses using Fisher’s method disclosed significantly fewer Bacteroidetes (P = 0.003), more Actinobacteria (P = 0.002) but no significant difference in Firmicutes (P = 0.09).","Homo Sapiens",46,"15","Gut (faecal)"
